
                                      ARENA Simulation Results
                              damianmream@gmail.com - License: STUDENT

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date :12/ 2/2023
Analyst: Georgia Institute of Technology                             Model revision date:12/ 2/2023

Replication ended at time      : 720.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Trunk Line Fraud or Credit Check Shift 3    1.0000     (Insuf)    1.0000     1.0000          8    
Trunk Line Fraud or Credit Check Shift 2    1.0000     (Insuf)    1.0000     1.0000        177    
Trunk Line Fraud or Credit Check Shift 1    1.0000     .00000     1.0000     1.0000        578    
Trunk Line Lost or Stolen Card Shift 3      1.0000     (Insuf)    1.0000     1.0000          3    
Trunk Line Lost or Stolen Card Shift 2      1.0000     (Insuf)    1.0000     1.0000         18    
Trunk Line Lost or Stolen Card Shift 1      1.0000     (Insuf)    1.0000     1.0000        116    
Trunk Line Payment Balance Check Shift 3    1.0000     (Insuf)    1.0000     1.0000         60    
Trunk Line Payment Balance Check Shift 2    1.0000     .00000     1.0000     1.0000       1446    
Trunk Line Payment Balance Check Shift 1    1.0000     .00000     1.0000     1.0000       4766    
Total Self Service Simple Shift 2           1.0000     .00000     1.0000     1.0000       8004    
Total Self Service Simple Shift 3           1.0000     .00000     1.0000     1.0000       3029    
Total Self Service Simple Shift 1           1.0000     .00000     1.0000     1.0000       9334    
Entity Closure Specialist Call.VATime       .70388     .04718     .25689     4.4064        498    
Entity Closure Specialist Call.NVATime      .00000     .00000     .00000     .00000        498    
Entity Closure Specialist Call.WaitTime     3.0761     (Corr)     .00000     20.540        498    
Entity Closure Specialist Call.TranTime     .00000     .00000     .00000     .00000        498    
Entity Closure Specialist Call.OtherTime    .00000     .00000     .00000     .00000        498    
Entity Closure Specialist Call.TotalTime    3.7800     (Corr)     .32911     23.254        498    
Entity Closure Specialist Call.VACost       11.685     .32442     5.6514     26.202        498    
Entity Closure Specialist Call.NVACost      .00000     .00000     .00000     .00000        498    
Entity Closure Specialist Call.WaitCost     .00000     .00000     .00000     .00000        498    
Entity Closure Specialist Call.TranCost     .00000     .00000     .00000     .00000        498    
Entity Closure Specialist Call.OtherCost    .00000     .00000     .00000     .00000        498    
Entity Closure Specialist Call.TotalCost    11.685     .32442     5.6514     26.202        498    
Entity 1.VATime                                 --         --         --         --          0
Entity 1.NVATime                                --         --         --         --          0
Entity 1.WaitTime                               --         --         --         --          0
Entity 1.TranTime                               --         --         --         --          0
Entity 1.OtherTime                              --         --         --         --          0
Entity 1.TotalTime                              --         --         --         --          0
Entity 1.VACost                                 --         --         --         --          0
Entity 1.NVACost                                --         --         --         --          0
Entity 1.WaitCost                               --         --         --         --          0
Entity 1.TranCost                               --         --         --         --          0
Entity 1.OtherCost                              --         --         --         --          0
Entity 1.TotalCost                              --         --         --         --          0
Entity Fraud Credit Specialist Call.VATime  .42940     .01981     .10039     4.0501       2031    
Entity Fraud Credit Specialist Call.NVATim  .00000     .00000     .00000     .00000       2031    
Entity Fraud Credit Specialist Call.WaitTi  1.4473     .42024     .00000     18.038       2031    
