
                                      ARENA Simulation Results
                                   Windows User - License: STUDENT

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date :11/28/2023
Analyst: Georgia Institute of Technology                             Model revision date:11/28/2023

Replication ended at time      : 720.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Trunk Line Fraud or Credit Check Shift 3        --         --         --         --          0
Trunk Line Fraud or Credit Check Shift 2    1.0000     (Insuf)    1.0000     1.0000         96    
Trunk Line Fraud or Credit Check Shift 1    1.0000     .00000     1.0000     1.0000        488    
Trunk Line Lost or Stolen Card Shift 3          --         --         --         --          0
Trunk Line Lost or Stolen Card Shift 2      1.0000     (Insuf)    1.0000     1.0000         15    
Trunk Line Lost or Stolen Card Shift 1      1.0000     (Insuf)    1.0000     1.0000         47    
Trunk Line Payment Balance Check Shift 3    1.0000     (Insuf)    1.0000     1.0000          9    
Trunk Line Payment Balance Check Shift 2    1.0000     .00000     1.0000     1.0000       1105    
Trunk Line Payment Balance Check Shift 1    1.0000     .00000     1.0000     1.0000       4414    
Total Self Service Simple Shift 2           1.0000     .00000     1.0000     1.0000       8298    
Total Self Service Simple Shift 3           1.0000     .00000     1.0000     1.0000       3026    
Total Self Service Simple Shift 1           1.0000     .00000     1.0000     1.0000       9711    
Entity Closure Specialist Call.VATime       .71726     .03513     .26805     3.7076        470    
Entity Closure Specialist Call.NVATime      .00000     .00000     .00000     .00000        470    
Entity Closure Specialist Call.WaitTime     1.8103     (Corr)     .00000     12.933        470    
Entity Closure Specialist Call.TranTime     .00000     .00000     .00000     .00000        470    
Entity Closure Specialist Call.OtherTime    .00000     .00000     .00000     .00000        470    
Entity Closure Specialist Call.TotalTime    2.5276     (Corr)     .26805     13.844        470    
Entity Closure Specialist Call.VACost       11.598     .27538     5.8970     23.139        470    
Entity Closure Specialist Call.NVACost      .00000     .00000     .00000     .00000        470    
Entity Closure Specialist Call.WaitCost     .00000     .00000     .00000     .00000        470    
Entity Closure Specialist Call.TranCost     .00000     .00000     .00000     .00000        470    
Entity Closure Specialist Call.OtherCost    .00000     .00000     .00000     .00000        470    
Entity Closure Specialist Call.TotalCost    11.598     .27538     5.8970     23.139        470    
Entity 1.VATime                                 --         --         --         --          0
Entity 1.NVATime                                --         --         --         --          0
Entity 1.WaitTime                               --         --         --         --          0
Entity 1.TranTime                               --         --         --         --          0
Entity 1.OtherTime                              --         --         --         --          0
Entity 1.TotalTime                              --         --         --         --          0
Entity 1.VACost                                 --         --         --         --          0
Entity 1.NVACost                                --         --         --         --          0
Entity 1.WaitCost                               --         --         --         --          0
Entity 1.TranCost                               --         --         --         --          0
Entity 1.OtherCost                              --         --         --         --          0
Entity 1.TotalCost                              --         --         --         --          0
Entity Fraud Credit Specialist Call.VATime  .46275     .03120     .10486     4.5462       1857    
Entity Fraud Credit Specialist Call.NVATim  .00000     .00000     .00000     .00000       1857    
Entity Fraud Credit Specialist Call.WaitTi  .55598     (Corr)     .00000     13.268       1857    
Entity Fraud Credit Specialist Call.TranTi  .00000     .00000     .00000     .00000       1857    
