
                                      ARENA Simulation Results
                                   Windows User - License: STUDENT

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date :11/28/2023
Analyst: Georgia Institute of Technology                             Model revision date:11/28/2023

Replication ended at time      : 720.0 Hours 
Base Time Units: Hours

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Trunk Line Fraud or Credit Check Shift 3        --         --         --         --          0
Trunk Line Fraud or Credit Check Shift 2    1.0000     (Insuf)    1.0000     1.0000          1    
Trunk Line Fraud or Credit Check Shift 1    1.0000     (Insuf)    1.0000     1.0000         16    
Trunk Line Lost or Stolen Card Shift 3          --         --         --         --          0
Trunk Line Lost or Stolen Card Shift 2          --         --         --         --          0
Trunk Line Lost or Stolen Card Shift 1      1.0000     (Insuf)    1.0000     1.0000          4    
Trunk Line Payment Balance Check Shift 3        --         --         --         --          0
Trunk Line Payment Balance Check Shift 2    1.0000     (Insuf)    1.0000     1.0000          8    
Trunk Line Payment Balance Check Shift 1    1.0000     (Insuf)    1.0000     1.0000        242    
Total Self Service Simple Shift 2           1.0000     .00000     1.0000     1.0000       9279    
Total Self Service Simple Shift 3           1.0000     .00000     1.0000     1.0000       2976    
Total Self Service Simple Shift 1           1.0000     .00000     1.0000     1.0000      13651    
Entity Closure Specialist Call.VATime       .71536     (Insuf)    .31798     2.7990        235    
Entity Closure Specialist Call.NVATime      .00000     (Insuf)    .00000     .00000        235    
Entity Closure Specialist Call.WaitTime     .05487     (Insuf)    .00000     1.2827        235    
Entity Closure Specialist Call.TranTime     .00000     (Insuf)    .00000     .00000        235    
Entity Closure Specialist Call.OtherTime    .00000     (Insuf)    .00000     .00000        235    
Entity Closure Specialist Call.TotalTime    .77023     (Insuf)    .31798     3.7787        235    
Entity Closure Specialist Call.VACost       11.832     (Insuf)    6.8695     28.095        235    
Entity Closure Specialist Call.NVACost      .00000     (Insuf)    .00000     .00000        235    
Entity Closure Specialist Call.WaitCost     .00000     (Insuf)    .00000     .00000        235    
Entity Closure Specialist Call.TranCost     .00000     (Insuf)    .00000     .00000        235    
Entity Closure Specialist Call.OtherCost    .00000     (Insuf)    .00000     .00000        235    
Entity Closure Specialist Call.TotalCost    11.832     (Insuf)    6.8695     28.095        235    
Entity 1.VATime                                 --         --         --         --          0
Entity 1.NVATime                                --         --         --         --          0
Entity 1.WaitTime                               --         --         --         --          0
Entity 1.TranTime                               --         --         --         --          0
Entity 1.OtherTime                              --         --         --         --          0
Entity 1.TotalTime                              --         --         --         --          0
Entity 1.VACost                                 --         --         --         --          0
Entity 1.NVACost                                --         --         --         --          0
Entity 1.WaitCost                               --         --         --         --          0
Entity 1.TranCost                               --         --         --         --          0
Entity 1.OtherCost                              --         --         --         --          0
Entity 1.TotalCost                              --         --         --         --          0
Entity Fraud Credit Specialist Call.VATime  .45307     .04245     .10213     6.6869        968    
Entity Fraud Credit Specialist Call.NVATim  .00000     .00000     .00000     .00000        968    
Entity Fraud Credit Specialist Call.WaitTi  .03201     .00997     .00000     .65747        968    
Entity Fraud Credit Specialist Call.TranTi  .00000     .00000     .00000     .00000        968    
